Number,State,Value,Param epochs,Param lr,Param momentum
0,COMPLETE,0.33306078757402113,5,7.325590572952338e-05,0.8946564287042131
1,COMPLETE,0.31057232013702807,5,0.0032366165650778047,0.8870774669473999
2,COMPLETE,0.3149139883859956,5,0.0004428495880758748,0.5226700730767936
3,COMPLETE,0.31649778859197275,5,0.00012847089151615888,0.9458065866877384
4,COMPLETE,0.3114904445843035,5,0.0018679494786757063,0.1878875352468852
5,COMPLETE,0.29152006084922166,5,0.005802448040157779,0.601764980229477
6,COMPLETE,0.2867426424862908,5,0.00022140453428509896,0.2987900590481714
7,COMPLETE,0.2713816381177263,5,0.0053548561044558345,0.36524655408045725
8,COMPLETE,0.26421246488967454,5,0.007116710262242434,0.4419787939310038
9,COMPLETE,0.2556522744783949,5,0.00400777140066553,0.36396594417417744
10,COMPLETE,0.25848686558734923,5,1.0108918614010047e-05,0.7206524575740961
11,COMPLETE,0.2653175720814468,5,5.0024110987968505e-05,0.9265699376914592
12,COMPLETE,0.22763177698766546,5,0.05943603789985757,0.7721048140276119
13,COMPLETE,0.22474973347402527,5,7.839110914826808e-05,0.7620557995893139
14,COMPLETE,0.23085949783396031,5,1.1221906418114975e-05,0.05096094783733385
15,COMPLETE,0.2530420857394641,5,8.629342800115242e-05,0.9131060263610702
16,COMPLETE,0.2617379017839405,5,0.0005309692016213194,0.6453729149230235
17,COMPLETE,0.27184892507493585,5,2.790388583969342e-05,0.8183672259740957
18,COMPLETE,0.27483829922595693,5,0.00019499456995417984,0.6525685056391979
19,COMPLETE,0.2715856608338615,5,3.170469670560986e-05,0.9447459900758635
20,COMPLETE,0.27175574175333106,5,0.00020840394118809915,0.8066844121434609
21,COMPLETE,0.27112897938911096,5,0.000712474758044621,0.5421155500877598
22,COMPLETE,0.27056838825226004,5,0.00048602551157051176,0.5523961865590609
23,COMPLETE,0.26882955711402223,5,0.00013513833946779096,0.8432648869902412
24,COMPLETE,0.26952905430482343,5,0.0011565289730611694,0.6896394684263498
25,COMPLETE,0.2635381295167474,5,0.0003630705635630937,0.1773907454793363
26,COMPLETE,0.26816310812611177,5,2.501538266154674e-05,0.49248104023166545
27,COMPLETE,0.2324226459811113,5,0.012943791483521082,0.858485958790194
28,COMPLETE,0.25117829057503716,5,0.001470358572609165,0.011367735159168613
29,COMPLETE,0.2495765916809224,5,8.719603590373575e-05,0.8668769374848984
