Number,State,Value,Param bagging_fraction,Param bagging_freq,Param feature_fraction,Param lambda_l1,Param lambda_l2,Param max_depth,Param min_child_samples,Param min_split_gain,Param num_leaves,UserAttribute test_score
0,COMPLETE,0.2195881877710005,0.8699414105468073,3,0.5589684909332189,0.0004727764944651123,0.8955287245341094,1,29,0.4968990238267089,47,0.18624162201886607
1,COMPLETE,0.3533861112670613,0.7103833219283691,7,0.7242520348149879,0.0013838340011030972,9.249637390267662e-06,4,42,0.29789400807436356,85,0.30752133694192607
2,COMPLETE,0.23927453403741708,0.5664822288556663,3,0.4121523109549375,0.0006304675803833389,0.520957469682875,1,56,0.10857274855106547,65,0.20881140002159204
3,COMPLETE,0.3622879114183604,0.8533626076490217,1,0.30355829440176796,1.456145690758534e-06,0.34350543845343473,-1,28,0.24534467335071453,82,0.3265357455105209
4,COMPLETE,0.36167074392914256,0.5915150434568646,7,0.7648767953608875,0.10106206008958664,3.3529443210705454e-06,0,36,0.32501410914112233,96,0.3285491659358333
5,COMPLETE,0.2628113560902124,0.4621163068861145,2,0.5432491921316013,0.5857317185608456,1.043164764821169e-06,1,44,0.4377618593542304,46,0.24674337132703283
6,COMPLETE,0.357225542046914,0.48641185930739883,3,0.36740121303906276,2.4255245781494284e-06,0.00010677475594422842,7,83,0.46445282086600176,20,0.30748038908652353
7,COMPLETE,0.3392106655258345,0.6102704873329252,5,0.3450364093118495,0.0700916260768428,0.05328997785039133,2,37,0.3026134274648363,49,0.29914497767473747
8,COMPLETE,0.36757828524622904,0.8945665755155506,2,0.6521042635183105,4.042830555254875e-05,0.004734736282388577,17,29,0.39629617922417143,85,0.318351195338083
9,COMPLETE,0.3608927599563786,0.668588842553697,4,0.3989469789552096,0.0003816931482111079,7.195182340252481e-06,11,33,0.38719317773112855,44,0.31153206941524947
10,COMPLETE,0.36640173986658225,0.7696679831644041,1,0.6576061786326941,2.7559577114517462e-05,0.004341458910341797,18,82,0.12651149319608251,66,0.3220506220902194
11,COMPLETE,0.3594311173604418,0.7973440112415388,1,0.6547525364514535,2.0384170982829972e-05,0.004283415654520865,19,95,0.08757473024834683,70,0.31661495439142584
12,COMPLETE,0.3648095044283465,0.7667172665406753,1,0.61621373017429,3.2247162648598994e-05,0.0034219759645412484,19,73,0.17685493636400768,79,0.3282026028848434
13,COMPLETE,0.36575631409127557,0.7874499803556989,2,0.6694280278419593,3.8352810249031675e-05,0.0003727917029762233,15,65,0.1759488596099945,97,0.3307220048619619
14,COMPLETE,0.36236458358091733,0.8986121870519979,2,0.500820535278851,0.004603785476167212,0.02104389406081321,15,98,0.02951511796150641,59,0.33026983382540476
15,COMPLETE,0.36285103833089477,0.7337750085842815,5,0.7076134154903395,1.0012767921308565e-05,0.00018040368196826245,14,82,0.19758282499845367,73,0.32879609014954103
16,COMPLETE,0.36272797656405276,0.8204437420216563,2,0.7888923586103787,8.152407122700392e-05,0.0016647131651549457,20,20,0.40283737029708117,90,0.31409206031454007
17,COMPLETE,0.35200137720201097,0.4039853633173752,1,0.6100618314173886,5.2374106568749085e-06,0.030104087971595042,12,55,0.009287651138825626,59,0.31996532876792616
18,COMPLETE,0.35722095159411893,0.6919857718301087,4,0.4868604000373775,0.00015806092833550137,3.542596131865935e-05,17,67,0.3523331792176032,33,0.31925518708990963
19,COMPLETE,0.3638070574861947,0.8374024337492847,5,0.5975569968027116,0.004472056465766589,0.010602311595122914,7,79,0.10980851486562068,74,0.3202999933536126
20,COMPLETE,0.3566875614786289,0.7613015147874678,3,0.7032036739031633,0.00010479883789297383,0.00044136874077526527,17,90,0.2530275376594999,65,0.3226724419395036
21,COMPLETE,0.3633050871230137,0.796758377636231,2,0.6714617358892149,1.8504681583012683e-05,0.0007313252913716719,15,64,0.18428955202441938,97,0.32099241706701476
22,COMPLETE,0.3687067335204691,0.8947649169231813,2,0.6560700551599458,5.132446494827717e-05,0.0813713536820455,17,48,0.12972403488732667,100,0.32072719095960955
23,COMPLETE,0.3657372126422802,0.8968171169830806,1,0.7420262113987657,6.6375455730436785e-06,0.07312762768182855,17,50,0.05302917237816736,88,0.32447827340914936
24,COMPLETE,0.37337860910463605,0.8946830082472428,2,0.6456661680361345,0.00014882963272528675,0.18311465415139264,13,22,0.1278650371265225,100,0.3387144407410744
25,COMPLETE,0.37267734624091836,0.8515129362440576,3,0.5693699144415514,0.0023320563939618374,0.12224416061096269,12,24,0.23709389819816754,100,0.34190676341085713
26,COMPLETE,0.3752748562055055,0.8410327925474669,3,0.5572004922760394,0.0018857737700535143,0.16912272764344446,9,20,0.23598201247626546,100,0.3337477535502035
27,COMPLETE,0.36418225638954227,0.832919785576023,4,0.5005323948920157,0.002691502792915086,0.14603706623647061,9,21,0.23951972983845005,92,0.33353908169663127
28,COMPLETE,0.3681981337355491,0.7335472977156371,3,0.5541011298778888,0.012054682849726397,0.19679280787903516,12,24,0.2714681947541321,94,0.3269061016360493
29,COMPLETE,0.36931751133300916,0.8482398132433492,3,0.4579394858948216,0.015482302905069571,0.8057343629642431,9,26,0.20936704124097763,100,0.3360871253317833
30,COMPLETE,0.3636423900952804,0.86077388817476,6,0.584713084748326,0.00035539866922272166,0.017558030173179372,7,33,0.07048059817518926,77,0.3349519452672567
31,COMPLETE,0.3803323220828325,0.8603047319495472,3,0.4625907047117019,0.02322359146499032,0.9210215685048083,9,26,0.20428208015049149,100,0.3370215796957624
32,COMPLETE,0.3586386059032941,0.8133795533242871,3,0.5306990995286399,0.001375697215236609,0.9662459533055888,10,40,0.1431380437928395,89,0.31535320720193505
33,COMPLETE,0.3710552497838878,0.8748947033247121,4,0.432476697508925,0.019524391279630307,0.2997880373942154,13,20,0.15305771695935189,100,0.3267750866794872
34,COMPLETE,0.35547222780828674,0.8636133614549782,4,0.5724203172797644,0.051604782539628316,0.14320058154775933,5,29,0.21876854880093036,84,0.31488945594999185
35,COMPLETE,0.3638145973171233,0.8330729140604843,3,0.51824230057815,0.0010642935922639293,0.45266457183513453,10,31,0.27935014388968427,95,0.32158177516486763
36,COMPLETE,0.3644135873313815,0.7340800722489159,3,0.46354698065295386,0.8247839446570665,0.3441821052100675,8,25,0.22640584712297968,92,0.31663081533822757
37,COMPLETE,0.35409255977162346,0.527972059950254,2,0.6233415440531792,0.14181872740979587,0.05219419501004709,5,37,0.3375094197260987,81,0.2984513900830552
38,COMPLETE,0.3621073288908452,0.6403105858801531,3,0.5557042798227896,0.0028319172272095816,0.9571566077344444,11,24,0.31414678480483016,87,0.31584325294468596
39,COMPLETE,0.36789835540974025,0.8651161596399859,5,0.4735838859945006,0.0006279562483636322,0.16904033941445135,13,46,0.2684271144409039,96,0.3412935773396092
40,COMPLETE,0.3462707598003933,0.8133643542312212,3,0.44000381189033166,0.00022118334287237861,0.01018587160296314,3,40,0.1645190515274617,84,0.311535342691047
41,COMPLETE,0.37441585662687177,0.8743195918102283,4,0.4210387542134585,0.016896769797017406,0.3016068527103607,13,20,0.0949753097474991,100,0.3215825327793056
42,COMPLETE,0.3745791765592379,0.8707096419978952,4,0.38734280385083375,0.028444135298148834,0.45431140258027786,11,27,0.1033644883179367,100,0.32838856188644616
43,COMPLETE,0.3603798927044667,0.8755854354929118,4,0.37753743617409585,0.2332077021451038,0.34813455466918386,8,32,0.10360466147833076,92,0.3110921018462188
44,COMPLETE,0.3687575836813881,0.8785337814064431,4,0.3114784706019775,0.03228707387722033,0.5655538727265083,11,28,0.07002828584736404,95,0.3239041699945008
45,COMPLETE,0.367833624088141,0.7985426795321992,6,0.4050230490624177,0.008524500389192675,0.21345919300124705,14,35,0.11578709689981036,54,0.32836829484642593
46,COMPLETE,0.36717686280704953,0.8441338937027724,5,0.348832184947327,0.36576408022600165,0.038796419902147224,8,20,0.035409325579990825,37,0.32300084948312113
47,COMPLETE,0.3617462918600316,0.7779113348772596,4,0.42792973143941637,0.03452819819180203,0.5525360612813941,6,28,0.08296267504924378,97,0.31762923781806673
48,COMPLETE,0.35750963023506166,0.8987669275157787,4,0.37413209629544325,0.09813135371162789,0.0868843133874292,10,42,0.15088109100486466,21,0.31320372763280724
49,COMPLETE,0.36556241097256903,0.5639368491920186,2,0.3272085164942938,0.007261882307491022,0.24031507732416799,13,24,0.19481472531968455,90,0.3164449739264211
50,COMPLETE,0.36767712210282794,0.8175067446947997,5,0.3804975979192198,0.025437624106818286,0.5698460283137075,11,31,0.09608115289745695,87,0.3286318646621179
51,COMPLETE,0.37125560545383895,0.850711016803551,3,0.5283165165797952,0.002154486773259504,0.10587182597616798,12,23,0.2892410221281394,100,0.3312788674071683
52,COMPLETE,0.36638591364135764,0.878887547848098,3,0.6336005438985544,0.007349950547922839,0.030252415965116495,14,27,0.24035469624910924,98,0.3331291276770656
53,COMPLETE,0.3757876140305849,0.8345706286579416,4,0.4016299836712016,0.05112411782506044,0.05801014815368281,12,22,0.13574168800262154,93,0.3311897976444187
54,COMPLETE,0.361752056719787,0.7537988923931558,4,0.41371968878073073,0.19758756362603194,0.052722534760197705,9,36,0.13683609572848054,93,0.3208723016220235
55,COMPLETE,0.3716688495456732,0.819333059841399,6,0.3898698885313032,0.05342199091370647,0.25645869763418455,15,22,0.1714434648394228,94,0.3294101647727553
56,COMPLETE,0.370281721819888,0.874809051755504,4,0.3524224505273874,0.07430911020240244,1.137675677144177e-06,11,20,0.11609656757626922,91,0.33054804102942836
57,COMPLETE,0.361593928488921,0.8333181378321736,5,0.42046489641838136,0.01037668161571486,0.014584315794519527,16,30,0.037916222033900285,97,0.3416109167674738
58,COMPLETE,0.36698305400508424,0.7001559232966321,2,0.43970332974799853,0.004618267900158362,0.5026787140858496,-1,27,0.012119662433134504,86,0.3298964778997905
59,COMPLETE,0.36302622051438754,0.7952940589076272,4,0.45571224826995654,0.03740754051392208,0.006932324242312476,13,34,0.05978222581515616,81,0.33368026679767593
60,COMPLETE,0.38023478081099144,0.885670464619942,5,0.49008226312987974,0.01682493632064782,0.07680272087354756,10,26,0.20760491563724467,98,0.32868823007262526
61,COMPLETE,0.366978988848337,0.8813565582163617,5,0.4921712976510827,0.019528540936281542,0.07400288900470248,10,26,0.18891047801929145,98,0.33276028405951463
62,COMPLETE,0.3686149178232895,0.8549316867993527,4,0.4838503160265899,0.004581638852812993,4.2665277536895435e-05,12,22,0.20924727734048298,95,0.3251031564521021
63,COMPLETE,0.37016298110318935,0.8909820276090453,7,0.5144297759427202,0.060717758963388595,0.15118081442848935,9,23,0.1248853559690616,100,0.31691861074324046
64,COMPLETE,0.361574004094091,0.8327476731064247,5,0.3959792412053277,0.013891593192087591,0.39383793757569274,14,56,0.4924425607107334,89,0.3233866735351132
65,COMPLETE,0.36914079625548535,0.8611074679653434,6,0.6898253700514748,0.13664031023798331,0.031169698610406815,8,38,0.15692505236562732,97,0.3226393395563354
66,COMPLETE,0.3647548846725208,0.8066437978927287,4,0.740803108638399,0.021801063001192365,0.002949221428653489,10,30,0.2541158956595125,94,0.32999054066784006
67,COMPLETE,0.3714130270290015,0.8870091345359137,3,0.44713239261081233,0.0006239168781766233,0.7455102969694152,12,25,0.135425098809425,62,0.33283862528128394
68,COMPLETE,0.3632501283873343,0.7772374608568812,1,0.47137929303047527,0.3928005347102068,0.108497591303993,7,20,0.08124595894136527,98,0.3241414175799501
69,COMPLETE,0.3648151041647035,0.8416574075502071,2,0.3620265827436493,6.945005040707689e-05,0.23755028625233002,11,27,0.20543258445682555,68,0.33274263132659176
70,COMPLETE,0.36375320043476567,0.8618646580873086,4,0.5381458821399062,0.0002311374630656442,0.04556148631655681,9,74,0.17529797649620565,91,0.3197089247182462
71,COMPLETE,0.3717856554192979,0.8511436225104373,3,0.5051513803311989,0.0018996129093689696,0.1165849854526896,12,23,0.22853198652737047,99,0.33570308976130103
72,COMPLETE,0.36861385794456225,0.8270708995581566,3,0.5864906087513032,0.005874682614248743,0.021127890285356343,13,33,0.25877699621731853,100,0.327085991204631
73,COMPLETE,0.3534000914664415,0.4184655784751142,2,0.5710577921507765,0.013524506828119162,0.06358079735016668,16,29,0.22338782707206223,95,0.33262474020827215
74,COMPLETE,0.3741792202694603,0.8996751182873334,3,0.4109905599445739,0.0011766809394700905,0.32963123772464337,12,25,0.23857056822474196,93,0.328155964965014
75,COMPLETE,0.36833528534722804,0.8990784843978489,3,0.33438550673754863,0.0010081180623353857,0.694216138508614,11,26,0.09277868471356816,93,0.3281606449542711
