coherence,requires_running_space,friendly_with_children,friendly_with_other_pets,is_calm,is_energetic,inconsistencies,PetID
high,1,0,0,0,1.0,No inconsistencies found.,86e1089a3
medium,1,0,0,0,1.0,Vaccination status unknown,6296e909a
medium,1,1,1,0,1.0,No information on behavior or temperament,3422e4906
high,1,0,0,0,1.0,No inconsistencies found.,5842f1ff5
high,1,1,0,0,1.0,,850a43f90
medium,1,0,0,0,1.0,Vaccination and deworming status not mentioned in description,d24c30b4b
medium,1,0,0,0,1.0,Vaccination and deworming status not mentioned in description,1caa6fcdb
low,1,0,0,0,1.0,Pet profile lacks information on behavior and health status.,97aa9eeac
medium,1,0,0,0,1.0,Vaccination status not mentioned in description,c06d167ca
medium,1,0,0,1,0.0,Vaccination status unclear,7a0942d61
medium,1,0,0,0,1.0,Vaccination status not mentioned in description,8b693ca84
high,1,0,1,0,1.0,None,8e76c8e39
high,1,1,1,0,1.0,None,aaedd873d
medium,1,0,1,0,1.0,Mother cat' s age not mentioned in description,4a9793dfb
high,1,0,0,0,1.0,,c02be41e6
medium,1,0,1,0,1.0,Vaccination status unclear,1fd342e17
high,1,1,1,0,1.0,None,b38a74866
high,1,1,1,0,1.0,,f9d07d5fa
high,1,0,0,0,1.0,No inconsistencies found.,1c92ce464
medium,1,0,0,0,1.0,Vaccination status not mentioned in description,b10e7605a
high,1,1,1,0,1.0,,6436c1a59
high,1,1,1,0,1.0,,234a5a54c
low,1,0,0,0,1.0,Mixed gender cats listed; Greyhound breed not mentioned,1bc0f89d8
high,1,0,0,1,0.0,,1bf24d8be
medium,1,0,0,0,1.0,Cikenet is not sterilized,988988d5b
high,1,0,1,1,0.0,Must be kept indoors contradicts large size and maturity.,cf7d3eec0
high,1,0,0,0,1.0,,85fc3c314
medium,1,0,0,0,1.0,No vaccination or deworming data provided,efbf1703a
medium,1,0,0,0,1.0,Primary breed Rottweiler not mentioned in description,7843a9dca
medium,1,0,0,0,1.0,Description suggests indoor adoption; tabular data shows no vaccination or sterilization.,d341fbfd6
medium,1,0,0,0,1.0,Indoor pet description contradicts maturity size and fur length.,1a76190c5
medium,1,0,0,0,1.0,Vaccination status not mentioned in description,edb920079
high,1,1,1,0,1.0,,543130f60
low,1,0,0,0,1.0,Pet is not vaccinated or sterilized as per description.,9415bc79e
medium,1,0,0,0,1.0,Deworming status not consistent with health description,4c6fe4100
medium,1,0,0,0,1.0,Secondary breed and fur length not specified,0737e4f11
high,1,0,0,0,1.0,,61fa73996
medium,1,0,0,0,1.0,Vaccination status not mentioned in description,eabb13cea
